Name,Country,Local,Floor,Apartment,Parking
Noy Lupin,972,584134333,9,184,676
Gadi Halimi,972,551200405,13,85,106
Maya Sultan,972,598817856,12,180,1058
Rotem Biton,972,577126908,1,11,568
Daniel Biton,972,501488181,20,16,1070
Alon Peretz,972,525184458,3,182,1220
Talia Melamed,972,523132883,13,152,753
Talia Baruch,972,577940061,30,38,1135
Rotem Golani,972,514337725,24,123,767
Ilana Sela,972,557315745,27,137,1457
Erez Sasson,972,559772876,25,62,1385
Adi Peretz,972,588765710,6,107,770
Adi Azoulay,972,502165604,5,190,98
Alon Kaplan,972,544435059,28,149,43
Tal Mizrahi,972,572304712,12,6,1008
Lior Lupin,972,553025447,4,163,609
Dana Moyal,972,530372408,23,184,1319
Vered Avraham,972,598343027,26,46,460
Leah Baruch,972,595223553,9,126,973
Dor Haddad,972,556378641,6,78,193
Hila Levi,972,590889227,6,78,712
Tal Sela,972,592960434,7,121,1216
Shira Halabi,972,507788932,29,149,125
Kfir Melamed,972,598881710,21,98,1311
Ariel Biton,972,529652225,1,80,589
Tamar Dayan,972,570548723,3,126,1217
Idan Elbaz,972,599192649,8,136,295
Yossi Halimi,972,567813394,4,81,1135
Yossi Malka,972,519725314,29,25,1087
Daniel Derby,972,564584090,21,98,1304
Yuval Haddad,972,593961585,15,104,1066
Alon Hazan,972,520028350,1,44,786
Alon Melamed,972,503524374,21,10,116
Barak Amar,972,515447797,11,139,1468
Shai Melamed,972,548237772,22,173,1181
Omer Sabag,972,519107687,20,200,567
Ilana Hazan,972,517223967,14,133,654
Barak Sabag,972,592616136,8,154,1392
Adi Ninio,972,544860434,7,74,548
Michal Moyal,972,546895067,18,65,771
Omer Halabi,972,590110255,25,135,603
Hila Sela,972,539609838,7,119,941
Nadav Sharabi,972,574440721,27,195,1154
Noa Ninio,972,574283575,6,31,520
Yarden Sabag,972,549570654,21,73,106
Yossi Tal,972,520150022,15,172,860
Shelly Haddad,972,576906866,19,183,1083
Omer Levi,972,513520092,20,18,669
Ronen Amar,972,561592693,5,27,1263
Gal Hazan,972,576460884,22,196,265
Itay Sultan,972,536031560,12,187,757
Yuval Halimi,972,512014669,5,166,585
Roi Golan,972,534166728,24,44,1345
Yael Sabag,972,524849107,17,177,394
Shelly Tal,972,526405111,6,8,909
Maya Gabbay,972,575354342,17,83,257
Shira Dayan,972,583012750,2,159,1085
Rina Mor,972,572830154,18,83,334
Eli Kimchi,972,538708788,28,74,1326
Ronen Amar,972,552742643,25,90,830
Idan Tal,972,537638048,2,27,957
Itay Azoulay,972,575668068,0,108,863
Leah Shapira,972,540766098,14,89,135
Ariel BenAmi,972,578593618,19,100,804
Dor Gabbay,972,518269918,16,135,1063
Hadar Dayan,972,501571113,15,141,260
Barak Golani,972,596189492,22,181,1163
Roi Amar,972,503709479,30,93,1434
Talia Dayan,972,514837858,20,32,822
Hadar Sasson,972,576436278,28,177,66
Rotem Kimchi,972,540488700,20,170,688
Gal Shapira,972,558210480,22,196,966
Erez Shmueli,972,591452552,17,114,221
Talia Elbaz,972,544947061,1,180,308
Adi Peretz,972,505644207,8,31,167
Tamar Weiss,972,580828352,22,181,169
Erez Shapira,972,573337508,20,183,919
Itay Shapira,972,583732082,4,191,912
Tal Biton,972,590557162,11,143,980
Michal Mor,972,538058943,20,86,159
Lior Ashkenazi,972,562529373,17,42,609
Idan Golan,972,546972689,19,91,161
Dana Shapira,972,531845973,9,53,1098
Barak Ashkenazi,972,580833219,23,196,390
Vered Golan,972,586226984,20,149,617
Shai Lupin,972,581874470,18,191,131
Shira Melamed,972,544602055,8,33,525
Ronen Gabbay,972,542925878,22,101,80
Alon Melamed,972,548078673,11,93,1218
Eli Gabbay,972,585762123,0,134,329
Shira Dahan,972,567139916,30,92,188
Tamar Alfasi,972,571649851,4,17,243
Rina Ninio,972,530214439,30,99,395
Yarden Sasson,972,500368704,15,141,1343
Tal Haddad,972,520917263,2,2,393
Roi Mor,972,536695670,2,168,476
Erez Sultan,972,522709206,22,154,130
Dana Moyal,972,539951303,26,123,1058
Sharon Amar,972,541226079,6,35,347
Roi Derby,972,569719367,3,179,1212
Yuval Elbaz,972,504913088,22,140,1403
Adi Halimi,972,510030729,17,55,1154
Nadav Cohen,972,531342315,14,62,234
Yossi Lupin,972,528305274,19,98,111
Dor Weiss,972,538750190,9,120,980
Talia Alfasi,972,539721329,16,118,1279
Dor Lupin,972,555552048,5,90,236
Itay Hazan,972,590966600,20,23,1130
Idan Sabag,972,522321200,18,120,1404
Or Elbaz,972,530258347,8,186,827
Tamar Melamed,972,502868945,7,5,459
Leah Mor,972,544618136,10,193,993
Adi Mizrahi,972,587267512,19,73,215
